collection,top_handles,bottom_handles,all_colors,htx,hty,hbx,hby
"PowerCurve","power-curve-sports-bra-2|power-curve-long-sleeves-top-copy-1|power-curve-top-contrast-blue","power-curve-shorts-contrast-coffee-1|power-curve-leggings-contrast-blue","Contrast Brown|Black|Contrast Blue|Contrast Pink","40","28","55","72"
"Halter Flow","halter-flow-top-white-grey","halter-flow-sweatpants","White|Coffee|Black","40","28","55","72"
